files,pronunciation,predictions_CART_model,predictions_KNN_model,predictions_LDA_model,predictions_LR_model,predictions_NB_model,predictions_SVN_model
8_pos.mp3,95.03,c,b2,c,c,c,c
2_pos.mp3,94.96,c,c,c,c,c,c
19_neg.mp3,70.03,b2,b2,b2,b2,b2,b2
16_neg.mp3,70.01,b2,b1,b2,b2,b2,b2
15_neg.mp3,90.06,b2,b2,a,b2,b1,b2
13_neg.mp3,69.97,b1,b1,a,b1,b1,b1
21_neg.mp3,84.97,c,b2,c,c,b2,b2
17_neg.mp3,84.93,b2,b2,b2,b2,b2,b2
14_neg.mp3,70.06,b2,b2,a2,b2,a2,b2
5_pos.mp3,6.82,c,c,c,c,c,b2
18_neg.mp3,85.0,b1,b1,c,c,c,b2
6_pos.mp3,94.93,a,c,c,c,c,c
11_neg.mp3,85.12,c,b2,b2,b2,b2,b2
4_pos.mp3,95.03,c,c,c,c,c,c
12_neg.mp3,69.89,b2,b1,b1,b1,b1,b1
10_pos.mp3,94.97,a,c,c,c,c,c
7_pos.mp3,85.18,c,b2,b2,b2,b1,b2
9_pos.mp3,89.92,c,b2,c,c,c,b2
3_pos.mp3,84.95,c,b2,b2,b2,b2,b2
20_neg.mp3,95.08,c,c,c,c,c,c
1_pos.mp3,95.11,c,b2,c,c,c,c
